score,name,temperature,confirmed,requirements,steps,url,source
99,Arc,94,,,"Kunjungi Arc House community portal and click “Gabung Community” | Register using your email or LinkedIn account | Create your profile and submit your application for approval | Once approved, start completing tasks to collect points and unlock badges | Review the full contribution rules to understand how badges and points are earned across different activities. | Use MetaMask, Rabby, or any EVM wallet. Add the network via Chainlist or manually from docs.arc.network. Alternative RPC endpoints if needed. Network name: Arc Testnet RPC URL: https://rpc.testnet.arc.network Chain ID: 5042002 Currency symbol: USDC Block Explorer: https://testnet.arcscan.app",https://airdrops.io/arc/,airdrops.io
5,Beezie,0,,,Step 1: Kunjungi Beezie platform | Step 2: Create an account and complete the registration process | Step 3: Connect your wallet or link a payment method for transactions | Step 4: Navigate to the Claw Machines section | Step 5: Select a claw machine and review the displayed odds and available items | Step 6: Purchase pulls and operate the claw machine to win collectibles,https://airdrops.io/beezie/,airdrops.io
